mode	package	test	disposition	initial_source_commit	initial_body_capture	accepted_source_commit	accepted_body_capture	initial_test_outcome
normal	validator	TestReleaseEvidenceV2HistoricalRuntimeActivationAuthenticatesOriginalConsent	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	pass
normal	validator	TestReleaseEvidenceV2HistoricalRuntimeActivationRejectsChangedAuthority	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	pass
normal	validator	TestReleaseEvidenceV2HistoricalRuntimeAdoptionChecksExactAppliedRow	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	pass
normal	validator	TestReleaseEvidenceV2HistoricalRuntimeArchiveRejectsChangedOriginalConfig	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	pass
normal	validator	TestReleaseEvidenceV2HistoricalRuntimeArchiveReplaysOriginalConfig	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	pass
normal	validator	TestReleaseEvidenceV2HistoricalRuntimeCaptureRetainsExactOriginalMetadata	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	pass
normal	validator	TestReleaseEvidenceV2HistoricalRuntimeDecisionRetainsOriginalSources	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	pass
normal	validator	TestReleaseEvidenceV2HistoricalRuntimeFinalizedSourceReachesOriginalEventVerifier	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	pass
normal	validator	TestReleaseEvidenceV2HistoricalRuntimeKeepsFreshSigningCurrent	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	pass
normal	validator	TestReleaseEvidenceV2HistoricalRuntimeLegacyReconcilePersistsExactReceipt	retained-initial-pass	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	0127b7ee08d1cd77262a6dd28b606e2cfee33e6b	/mnt/data/sn-testnet/qualification/runtime460-affected-matrix-20260915-r1/terra/normal/validator	pass
